arm,held_out,split,postprocessed,model,dice_mean,dice_std,iou_mean,hd95_mean,hd95_std,assd_mean,n,hd95_n,n_empty
unet_resnet34_imagenet,shenzhen,id_test,False,unet_resnet34,0.9816735193289292,0.005725874809461984,0.9640670414662478,4.659547833219972,2.1892547692418547,1.4013943650957075,58,58,0
unet_resnet34_imagenet,shenzhen,id_test,True,unet_resnet34,0.9816745725957504,0.005724747458234091,0.9640690490472852,4.648985944496069,2.1792200444987806,1.3990084039581603,58,58,0
unet_resnet34_imagenet,shenzhen,ood_test,False,unet_resnet34,0.9483317969340131,0.03431107264516769,0.9035900081943061,36.63938738918991,44.952078165416786,5.634093016128379,566,566,0
unet_resnet34_imagenet,shenzhen,ood_test,True,unet_resnet34,0.9514961649198087,0.03463898472652255,0.9092972371394134,17.762259362631024,22.773097449937865,3.9706006572896118,566,566,0
unet_resnet34_scratch,jsrt,id_test,False,unet_resnet34,0.9643428748966276,0.02699929785918462,0.9323646574611171,12.173085634227919,16.017903425219416,2.779658751245291,106,106,0
unet_resnet34_scratch,jsrt,id_test,True,unet_resnet34,0.9644208854812576,0.02701438807932509,0.9325112929957129,12.323953015826936,16.544364708926977,2.7851859837679016,106,106,0
unet_resnet34_scratch,jsrt,ood_test,False,unet_resnet34,0.9654798722368105,0.0148120280501776,0.9336431066754887,12.403101062245884,15.620862750016759,2.8858046473704113,247,247,0
unet_resnet34_scratch,jsrt,ood_test,True,unet_resnet34,0.9655088784553462,0.01482751648050894,0.933698053777461,12.136273548936908,13.875508183298994,2.849965531371317,247,247,0
unet_resnet34_scratch,montgomery,id_test,False,unet_resnet34,0.9655347378159826,0.028334464493372024,0.9346941504958745,11.581737365129566,14.914024390679321,2.667967980059286,122,122,0
unet_resnet34_scratch,montgomery,id_test,True,unet_resnet34,0.9655363332169927,0.02833438276431727,0.9346971204858167,11.570487797194142,14.898102258959398,2.666420671005692,122,122,0
unet_resnet34_scratch,montgomery,ood_test,False,unet_resnet34,0.9618077776086063,0.0404830040893448,0.928839828784763,15.827018332303403,27.38693129688508,3.1983015902898586,138,138,0
unet_resnet34_scratch,montgomery,ood_test,True,unet_resnet34,0.9610053194080843,0.05576956832920459,0.9288377698239664,13.336496800936455,23.32014892852359,3.09805162955068,138,138,0
unet_resnet34_scratch,shenzhen,id_test,False,unet_resnet34,0.9743365161827687,0.03710461097654503,0.9519820483462643,7.714574416254159,15.978631045442349,1.8792182805317148,58,58,0
unet_resnet34_scratch,shenzhen,id_test,True,unet_resnet34,0.9742901038820678,0.03745280498871822,0.9519275898503237,7.713023458656369,16.193059370403656,1.8991922716093135,58,58,0
unet_resnet34_scratch,shenzhen,ood_test,False,unet_resnet34,0.9345152069302594,0.04767622389856302,0.8804293410217455,43.281095554280405,41.49224190255061,6.621085743530821,566,566,0
unet_resnet34_scratch,shenzhen,ood_test,True,unet_resnet34,0.937384412011673,0.05002348640601898,0.8857085308001529,29.196707045578243,32.65335030093099,5.315103592825386,566,566,0
