arm,held_out,postprocessed,model,dice_id,dice_ood,dice_gap,hd95_id,hd95_ood,hd95_gap,n_id,n_ood,hd95_n_id,hd95_n_ood,n_empty_id,n_empty_ood
unet,jsrt,False,unet,0.9644806730284373,0.9663620760249313,-0.001881402996493975,12.244629827291442,11.539434528071382,-0.7051952992200601,106,247,106,247,0,0
unet,jsrt,True,unet,0.9645878323614367,0.9664224836066704,-0.0018346512452336317,11.88355709883719,11.437558088883737,-0.44599900995345365,106,247,106,247,0,0
unet,montgomery,False,unet,0.965236035290588,0.9650570724444992,0.00017896284608875934,13.481804472604269,14.365474945520294,0.883670472916025,122,138,122,138,0,0
unet,montgomery,True,unet,0.9654182150965461,0.9661640850447174,-0.0007458699481712738,11.459753924614784,11.19804435220197,-0.2617095724128138,122,138,122,138,0,0
unet,shenzhen,False,unet,0.9758029970738409,0.9391092068832538,0.03669379019058705,8.069963867008571,38.74269415885377,30.672730291845202,58,566,58,566,0,0
unet,shenzhen,True,unet,0.9760092033305046,0.9438532591469329,0.032155944183571705,7.0596759620165335,20.409333784412272,13.349657822395738,58,566,58,566,0,0
unet_resnet34_imagenet,jsrt,False,unet_resnet34,0.9637701223346868,0.9672466455708569,-0.0034765232361700926,12.438780953112552,10.67631189110621,-1.7624690620063426,106,247,106,247,0,0
unet_resnet34_imagenet,jsrt,True,unet_resnet34,0.96399955923019,0.9672752440013862,-0.003275684771196219,11.90562325420992,11.392938652622,-0.5126846015879192,106,247,106,247,0,0
unet_resnet34_imagenet,montgomery,False,unet_resnet34,0.9640882355741616,0.9683291944973705,-0.004240958923208971,12.87136802912025,10.290243272664428,-2.5811247564558215,122,138,122,138,0,0
unet_resnet34_imagenet,montgomery,True,unet_resnet34,0.9645311123208888,0.9687033232945959,-0.0041722109737070134,11.594620705199889,9.692586283412988,-1.902034421786901,122,138,122,138,0,0
unet_resnet34_imagenet,shenzhen,False,unet_resnet34,0.9816735193289292,0.9483317969340131,0.03334172239491606,4.659547833219972,36.63938738918991,31.979839555969942,58,566,58,566,0,0
unet_resnet34_imagenet,shenzhen,True,unet_resnet34,0.9816745725957504,0.9514961649198087,0.03017840767594171,4.648985944496069,17.762259362631024,13.113273418134956,58,566,58,566,0,0
unet_resnet34_scratch,jsrt,False,unet_resnet34,0.9643428748966276,0.9654798722368105,-0.0011369973401829103,12.173085634227919,12.403101062245884,0.23001542801796582,106,247,106,247,0,0
unet_resnet34_scratch,jsrt,True,unet_resnet34,0.9644208854812576,0.9655088784553462,-0.0010879929740885697,12.323953015826936,12.136273548936908,-0.18767946689002812,106,247,106,247,0,0
unet_resnet34_scratch,montgomery,False,unet_resnet34,0.9655347378159826,0.9618077776086063,0.0037269602073763952,11.581737365129566,15.827018332303403,4.245280967173837,122,138,122,138,0,0
unet_resnet34_scratch,montgomery,True,unet_resnet34,0.9655363332169927,0.9610053194080843,0.004531013808908413,11.570487797194142,13.336496800936455,1.7660090037423135,122,138,122,138,0,0
unet_resnet34_scratch,shenzhen,False,unet_resnet34,0.9743365161827687,0.9345152069302594,0.039821309252509374,7.714574416254159,43.281095554280405,35.566521138026246,58,566,58,566,0,0
unet_resnet34_scratch,shenzhen,True,unet_resnet34,0.9742901038820678,0.937384412011673,0.03690569187039483,7.713023458656369,29.196707045578243,21.483683586921874,58,566,58,566,0,0
